,Community District,Latitude,Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Morningside Heights and Hamilton Heights,40.81804950223066,-73.9550299466107,Chinelos,40.820190000000004,-73.953769,Mexican Restaurant
1,Morningside Heights and Hamilton Heights,40.81804950223066,-73.9550299466107,Sushi Sushi,40.81855014925793,-73.95273086623575,Sushi Restaurant
2,Morningside Heights and Hamilton Heights,40.81804950223066,-73.9550299466107,Mofongo del Valle,40.820317200012795,-73.95497729240167,Spanish Restaurant
3,Morningside Heights and Hamilton Heights,40.81804950223066,-73.9550299466107,Steep Rock West,40.81666795087888,-73.95796911357189,Climbing Gym
4,Morningside Heights and Hamilton Heights,40.81804950223066,-73.9550299466107,Bakery HNY,40.816779,-73.95340300000001,Boutique
5,Morningside Heights and Hamilton Heights,40.81804950223066,-73.9550299466107,Bus Stop Restaurant,40.82021118070754,-73.95538446717724,Diner
6,Morningside Heights and Hamilton Heights,40.81804950223066,-73.9550299466107,Fairway Market,40.81999621370494,-73.95973825129128,Supermarket
7,Morningside Heights and Hamilton Heights,40.81804950223066,-73.9550299466107,Nadal's Deli,40.821389463727066,-73.95446616668374,Sandwich Place
8,Morningside Heights and Hamilton Heights,40.81804950223066,-73.9550299466107,Dinosaur Bar-B-Que,40.818146873796856,-73.9606735523417,BBQ Joint
9,Morningside Heights and Hamilton Heights,40.81804950223066,-73.9550299466107,La Nueva Flor de Broadway,40.82189559079043,-73.95378234193336,Latin American Restaurant
10,Morningside Heights and Hamilton Heights,40.81804950223066,-73.9550299466107,Oasis Juice Bar,40.815016957500134,-73.95887946970998,Juice Bar
11,Morningside Heights and Hamilton Heights,40.81804950223066,-73.9550299466107,Hudson River Greenway Bike Path,40.819281875389116,-73.96073341369629,Bike Trail
12,Morningside Heights and Hamilton Heights,40.81804950223066,-73.9550299466107,Jin Ramen,40.815406172563904,-73.95854739270733,Ramen Restaurant
13,Morningside Heights and Hamilton Heights,40.81804950223066,-73.9550299466107,City Gourmet Deli & Groceries,40.81765886908907,-73.95333734132181,Deli / Bodega
14,Morningside Heights and Hamilton Heights,40.81804950223066,-73.9550299466107,Fruces Harlem,40.818245000000005,-73.95311600000001,Food & Drink Shop
15,Morningside Heights and Hamilton Heights,40.81804950223066,-73.9550299466107,Go! Go! Curry!,40.81547267978402,-73.95823441394805,Japanese Curry Restaurant
16,Morningside Heights and Hamilton Heights,40.81804950223066,-73.9550299466107,Harlem Stage Gatehouse,40.81845539661982,-73.9513039466078,Theater
17,Morningside Heights and Hamilton Heights,40.81804950223066,-73.9550299466107,Plowshares Coffee,40.813705,-73.955776,Coffee Shop
18,Morningside Heights and Hamilton Heights,40.81804950223066,-73.9550299466107,The World Famous Cotton Club,40.8175873,-73.9602736,Lounge
19,Morningside Heights and Hamilton Heights,40.81804950223066,-73.9550299466107,El Puerto Seafood and Fish Market,40.813861024837166,-73.95673661274444,Seafood Restaurant
20,Morningside Heights and Hamilton Heights,40.81804950223066,-73.9550299466107,Kissaten Jin,40.81545749902605,-73.9584688976533,Café
21,Morningside Heights and Hamilton Heights,40.81804950223066,-73.9550299466107,Olga's Pizza,40.822379286792355,-73.95349050970361,Pizza Place
